DateTime,AddedIPs,RemovedIPs
1579633693,45,34
1579635613,52,43
1579637560,40,31
1579639451,32,31
1579641373,29,33
1579643291,37,43
1579645208,42,37
1579647130,40,37
1579649050,36,28
1579650969,30,36
1579652887,42,30
1579654811,27,32
1579656733,46,36
1579658651,32,20
1579660570,40,21
1579662498,35,25
1579666352,37,46
1579668248,42,30
1579670175,36,0
1579674021,13,48
1579675929,26,31
1579677848,24,29
1579679781,23,30
1579681686,26,29
1579683607,23,31
1579685553,19,0
1579687709,26,52
1579689613,27,28
1579691554,21,35
1579693451,22,38
1579695380,20,41
1579697302,21,36
1579699208,20,41
1579701133,29,0
1579703070,24,30
1579704968,44,41
1579706902,25,31
1579708830,27,53
1579710817,34,37
1579712912,35,0
1579714821,31,49
1579716731,27,49
1579718662,33,46
1579720574,30,54
1579722489,36,51
1579724419,31,38
1579726339,39,19
1579728251,33,32
1579730181,49,37
1579732095,33,39
1579734019,42,43
1579735946,34,37
1579737850,29,26
1579739768,27,32
1579741710,25,33
1579743610,25,45
1579745535,33,30
1579747468,25,37
1579749372,20,32
1579751290,23,0
1579753231,31,32
1579755126,22,45
1579757048,30,31
1579758967,27,0
1579760886,24,14
1579762810,34,25
1579764772,33,21
1579766680,34,27
1579768573,26,24
1579770493,23,21
1579772438,28,18
1579774359,38,30
1579776252,31,29
1579778199,35,23
1579780090,22,24
1579782034,20,20
1579783956,35,23
1579785875,23,18
1579787797,43,35
1579789687,19,24
1579791611,41,38
1579793536,41,21
1579795460,48,28
1579797369,43,31
1579799552,51,34
1579801455,27,31
1579803375,49,21
1579805293,40,36
1579807207,39,25
1579809128,36,38
1579811057,38,30
1579812969,30,35
1579814890,29,28
1579816806,24,50
1579818738,29,37
1579821145,36,38
1579824975,28,62
1579826889,23,25
1579828810,25,31
1579830726,31,25
1579832653,21,33
1579834573,20,31
1579836491,22,27
1579838413,26,24
1579840346,22,28
1579842498,17,24
1579844411,24,30
1579846332,15,30
1579848249,24,22
1579850175,25,33
1579852094,23,32
1579854036,18,36
1579855956,21,20
1579857852,20,20
1579859769,22,29
1579861715,18,32
1579863635,25,27
1579865557,20,37
1579867722,28,22
1579869611,36,20
1579871561,27,29
1579873449,27,26
1579875398,36,43
1579877296,30,16
1579879207,9,42
1579881150,24,43
1579883048,10,46
1579884993,46,50
1579886891,32,56
1579888811,42,27
1579890745,46,49
1579892912,38,40
1579894814,43,38
1579896985,32,40
1579898903,25,40
1579900813,37,34
1579902730,33,38
1579904709,16,27
1579906611,19,34
1579908504,20,32
1579910426,31,0
1579912353,28,32
1579914254,27,20
1579916186,11,28
1579918103,29,33
1579920015,40,27
1579921944,24,24
1579923856,21,22
1579925772,18,28
1579927694,24,21
1579929607,29,19
1579931535,20,18
1579933462,28,19
1579935375,35,24
1579937286,27,23
1579939228,32,20
1579941133,22,15
1579943305,18,21
1579945211,17,19
1579947152,26,22
1579949056,25,14
1579952905,23,53
1579954813,14,29
1579956729,26,40
1579958666,24,25
1579960569,27,23
1579962491,24,33
1579964424,32,29
1579966336,31,9
1579968498,34,26
1579970412,38,9
1579972337,29,52
1579974263,28,27
1579978095,21,80
1579980022,34,40
1579981931,37,43
1579983850,40,30
1579985784,40,28
1579987687,39,33
1579989615,27,32
1579991548,21,15
1579993453,30,17
1579995368,28,23
1579997318,32,27
1579999211,22,25
1580001150,22,27
1580003048,17,17
1580004982,29,30
1580006903,20,34
1580008810,22,17
1580010726,22,20
1580012675,17,16
1580014567,21,23
1580016492,18,27
1580018430,26,21
1580020334,20,27
1580022502,27,23
1580024411,23,24
1580026344,17,29
1580028249,18,21
1580030174,10,20
1580032103,20,16
1580034007,14,26
1580035941,28,26
1580037862,17,0
1580039770,23,23
1580041689,22,17
1580043621,23,23
1580045530,39,19
1580047702,26,26
1580049611,37,21
1580051549,26,29
1580053451,16,36
1580055374,41,35
1580057294,26,44
1580059222,20,24
1580061130,30,29
1580063059,28,0
1580064982,31,23
1580066887,30,30
1580068815,38,34
1580070744,54,38
1580072654,56,36
1580074567,46,27
1580076507,45,30
1580078409,36,24
1580080330,38,29
1580082260,33,34
1580084174,27,25
1580086089,28,31
1580088019,18,22
1580089928,32,24
1580091847,29,32
1580093780,26,25
1580095686,26,23
1580097616,21,26
1580099542,25,24
1580101710,29,24
1580103610,21,21
1580105532,18,22
1580107466,33,24
1580109371,16,27
1580111536,30,30
1580113449,30,17
1580117289,11,27
1580119212,30,21
1580121146,47,10
1580123065,34,28
1580124968,33,19
1580126903,48,24
1580128810,39,23
1580130980,32,24
1580132891,17,42
1580136743,36,70
1580138648,10,20
1580140580,25,13
1580142488,25,38
1580144415,36,27
1580146345,45,29
1580148509,40,37
1580150413,43,26
1580152591,47,26
1580154492,26,27
1580156419,55,29
1580158328,40,59
1580160261,38,51
1580162167,44,44
1580164098,37,39
1580166011,41,37
1580167933,35,32
1580170111,41,35
1580172010,34,30
1580173932,33,29
1580175860,42,18
1580179693,28,59
1580181608,31,26
1580183527,31,23
1580185461,28,25
1580187369,35,32
1580189287,35,32
1580191229,28,25
1580193132,35,22
1580195301,36,32
1580197212,28,20
1580199145,22,37
1580201048,33,25
1580202976,21,0
1580204902,22,12
1580206819,25,26
1580208729,23,44
1580210661,27,31
1580212571,29,43
1580214487,25,50
1580216426,34,41
1580218332,39,32
1580220507,30,14
1580222424,25,0
1580224582,10,36
1580226734,13,12
1580228656,32,26
1580230580,37,23
1580232509,32,29
1580234410,32,43
1580236349,45,39
1580238512,34,55
1580240413,47,44
1580242332,45,30
1580244266,35,56
1580246174,46,37
1580248094,20,42
1580250028,24,37
1580251928,38,36
1580253850,26,31
1580255779,35,34
1580257686,32,46
1580259608,38,39
1580261544,35,29
1580263709,33,44
1580265612,16,0
1580267534,25,30
1580269463,24,32
1580271634,41,33
1580273527,32,34
1580275482,22,33
1580277380,34,36
1580279291,25,27
1580281212,24,38
1580286005,19,72
1580287936,29,29
1580289851,26,20
1580293687,17,47
1580295612,19,23
